id_case,POST_vote,POST_president,PRE_present_religion,PRE_age,PRE_education,PRE_race,PRE_sex,PRE_occupation
204895,1,1,10,72,3,1,2,5
204901,1,2,1,60,3,1,2,1
204918,1,1,12,32,4,1,1,1
204925,-1,-1,2,70,3,1,2,5
204932,1,2,1,50,4,1,1,1
204949,1,1,2,59,2,1,1,1
204963,1,1,7,52,5,1,1,1
204970,-6,-6,1,67,4,1,2,5
204987,1,2,2,60,4,1,2,1
204994,1,1,12,24,4,1,1,1
205003,-1,-1,9,31,2,3,1,1
205010,1,2,11,39,2,1,1,1
205034,1,1,7,73,2,4,1,5
205041,2,-1,11,43,3,6,2,1
205058,1,1,9,28,5,1,1,1
205065,1,1,1,70,5,1,1,1
205072,1,1,1,72,3,1,1,5
205089,1,1,2,59,5,3,1,1
205096,-1,-1,9,35,2,1,1,1
205102,1,2,11,26,2,1,2,7
205119,1,1,2,80,2,1,2,5
205133,1,1,12,76,5,1,2,5
205140,-1,-1,12,31,3,1,1,1
205157,1,3,12,24,4,3,1,1
205171,1,1,1,53,4,1,1,1
205188,1,1,11,55,5,2,2,1
205195,1,1,10,39,5,4,2,1
205201,1,1,2,32,5,5,1,1
205218,1,2,2,80,3,1,2,5
205249,-6,-6,2,45,3,3,1,1
205256,1,2,12,40,2,1,1,1
205263,-1,-1,-9,64,4,1,1,6
205287,1,1,12,40,4,1,2,1
205294,1,1,5,52,5,1,1,1
205300,1,1,2,67,3,1,2,1
205317,1,1,1,72,5,1,1,5
205324,1,2,1,-9,4,1,1,1
205348,-1,-1,1,79,1,1,1,5
205362,1,1,2,67,4,1,2,5
205379,1,1,12,24,3,3,1,1
205393,1,1,12,43,3,5,2,1
205409,1,1,11,52,4,1,2,1
205416,1,2,1,-9,2,1,2,1
205430,-1,-1,2,62,1,3,1,1
205447,1,2,1,50,3,4,1,1
205454,1,2,11,28,3,1,1,1
205461,1,2,1,62,4,1,1,7
205478,1,2,1,73,2,1,2,5
205485,-1,-1,10,33,3,1,1,1
205492,-1,-1,10,42,5,1,2,1
205508,1,1,11,36,4,1,1,1
205515,-1,-1,12,41,1,3,2,7
205522,1,1,11,51,3,2,2,5
205539,1,2,12,30,5,1,2,7
205546,1,1,11,-9,4,2,2,1
205553,-6,-6,1,48,4,1,1,1
205560,1,2,1,66,3,5,2,5
205577,1,1,2,80,1,3,2,5
205607,1,2,2,49,3,1,2,1
205614,1,2,11,30,4,1,2,1
205621,1,1,1,70,4,4,2,1
205638,-1,-1,1,65,5,1,1,1
205645,1,1,11,57,5,1,2,1
205669,1,1,2,71,3,1,2,5
205676,-6,-6,11,31,4,6,2,1
205683,1,1,2,40,4,3,2,1
205706,1,2,1,66,5,1,1,5
205713,-6,-6,12,45,2,2,2,1
205737,1,2,1,68,4,1,2,1
205744,1,1,1,76,4,2,2,5
205751,-7,-7,1,80,3,1,2,5
205768,-6,-6,11,34,4,1,2,1
205775,1,2,1,44,3,1,2,4
205782,1,1,2,70,3,1,1,5
205799,1,1,2,-9,-2,6,2,7
205812,1,2,1,71,2,1,1,1
205829,1,1,12,37,3,2,2,1
205836,1,2,11,31,4,1,1,1
205843,1,2,1,61,3,3,2,1
205850,1,2,1,43,2,1,1,1
205867,1,1,1,53,3,1,2,1
205874,1,2,2,73,2,1,2,5
